time,value
1752851178.3417115,-1
1752851178.4448347,-1
1752851178.5480363,0
1752851178.6512005,1
1752851178.7546196,1
1752851178.8577394,-1
1752851178.9611511,-1
1752851179.0642552,0
1752851179.1674032,1
1752851179.270889,1
1752851179.3740158,-1
1752851179.4771562,-1
1752851179.5806036,0
1752851179.6838787,1
1752851179.787004,1
1752851179.8901465,0
1752851179.9933739,-1
1752851180.0966976,0
1752851180.2000122,1
1752851180.3033097,1
1752851180.4067187,0
1752851180.5099175,-1
1752851180.6131601,-1
1752851180.716374,0
1752851180.819552,1
1752851180.9228268,0
1752851181.0260866,-1
1752851181.1292474,-1
1752851181.232488,0
1752851181.335868,1
1752851181.4390972,1
1752851181.5427036,-1
1752851181.6460834,-1
1752851181.7492008,0
1752851181.8525198,1
1752851181.9556665,0
1752851182.0590084,-1
1752851182.162213,-1
1752851182.2656376,0
1752851182.3688097,0
1752851182.4721904,1
1752851182.5752866,-1
1752851182.6784976,-1
1752851182.7818394,0
1752851182.8850038,1
1752851182.988359,1
1752851183.091529,-1
1752851183.1949642,-1
1752851183.2981737,-1
1752851183.4012847,1
1752851183.504686,1
1752851183.6078665,0
1752851183.711235,-1
1752851183.814391,-1
1752851183.9177606,0
1752851184.0209377,1
1752851184.1243424,0
1752851184.2274668,-1
1752851184.3309731,-1
1752851184.4340756,0
1752851184.5374248,1
1752851184.6406667,0
1752851184.744048,-1
1752851184.8471997,-1
1752851184.9505777,0
1752851185.0536768,1
1752851185.1571221,1
1752851185.2602217,-1
1752851185.3649065,-1
1752851185.4682586,0
1752851185.571368,1
1752851185.674801,0
1752851185.7779715,-1
1752851185.8813674,-1
1752851185.9844787,0
1752851186.0878506,1
1752851186.1910677,0
1752851186.2942019,-1
1752851186.3976245,-1
1752851186.5007563,0
1752851186.604107,1
1752851186.707347,1
1752851186.8107219,-1
1752851186.913896,-1
1752851187.0171292,0
1752851187.1203136,1
1752851187.223417,1
1752851187.3266666,0
1752851187.4300654,-1
1752851187.5331998,-1
1752851187.636373,0
1752851187.7394717,1
1752851187.8427966,0
1752851187.94593,-1
1752851188.0491772,-1
1752851188.1522586,0
1752851188.255542,1
1752851188.3587215,0
1752851188.4618952,-1
1752851188.5650165,-1
1752851188.6683311,0
1752851188.771328,1
1752851188.8746116,1
1752851188.9776945,-1
1752851189.0813203,-1
1752851189.1847878,0
1752851189.2885346,1
1752851189.3915422,1
1752851189.495261,-1
1752851189.5983708,-1
1752851189.7018661,0
1752851189.805546,1
1752851189.9089742,1
1752851190.0122256,-1
1752851190.1156566,-1
1752851190.2191427,0
1752851190.3228285,1
1752851190.4262698,1
1752851190.5300386,-1
1752851190.6335063,-1
1752851190.73692,0
1752851190.8402116,1
1752851190.9436283,0
1752851191.0473523,-1
1752851191.1508822,-1
1752851191.253964,0
1752851191.357401,1
1752851191.4610653,0
1752851191.5641203,-1
1752851191.6678884,-2
1752851191.7713406,0
1752851191.8743641,1
1752851191.9777012,0
1752851192.0811448,-1
1752851192.1849005,-1
1752851192.2879803,0
1752851192.3912888,1
1752851192.4945009,0
